personas,3760450
varones,1839612
mujeres,1920838
fecha,fallecidos,terapia,casos_dx,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,2,2,0,6,6,0
2020-01-02,0,0,1,1,0,2,2,0
2020-01-03,0,0,0,0,0,1,1,0
2020-01-04,0,0,0,1,0,1,1,0
2020-01-05,0,0,0,0,0,3,3,0
2020-01-06,0,0,0,0,0,1,1,0
2020-01-07,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,1,1,0
2020-01-09,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,1,0,0,0,0
2020-01-11,0,0,0,0,0,2,2,0
2020-01-12,0,0,1,1,0,3,3,0
2020-01-13,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0
2020-01-16,0,0,1,1,0,1,1,0
2020-01-17,0,0,0,2,0,1,1,0
2020-01-18,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,1,1,0
2020-01-21,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,2,2,0
2020-01-26,0,0,0,0,0,1,1,0
2020-01-27,0,0,0,0,0,2,2,0
2020-01-28,0,0,1,1,0,1,1,0
2020-01-29,0,0,0,0,0,1,1,0
2020-01-30,0,0,0,0,0,2,2,0
2020-01-31,0,0,0,0,0,1,1,0
2020-02-01,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,1,1,0
2020-02-05,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,1,1,0
2020-02-10,0,0,0,1,0,0,0,0
2020-02-11,0,0,0,0,0,1,1,0
2020-02-12,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,1,1,0
2020-02-17,0,0,0,0,0,1,1,0
2020-02-18,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,1,1,0
2020-02-22,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,1,1,0
2020-02-26,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,1,1,0
2020-02-28,0,0,0,1,0,1,1,0
2020-02-29,0,0,0,0,0,1,1,0
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,1,1,1,0
2020-03-03,0,0,0,0,0,2,2,1
2020-03-04,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,1,1,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,9,0,1,1,0
2020-03-09,0,0,0,0,0,1,1,0
2020-03-10,0,0,7,10,0,1,2,1
2020-03-11,0,0,0,0,1,2,3,0
2020-03-12,0,0,2,7,0,1,1,0
2020-03-13,0,0,0,10,1,4,4,0
2020-03-14,0,0,0,0,0,6,5,3
2020-03-15,0,0,0,0,1,3,2,1
2020-03-16,0,0,0,4,0,6,6,3
2020-03-17,0,0,2,26,2,8,8,5
2020-03-18,0,0,0,10,3,6,6,0
2020-03-19,0,0,3,32,0,16,16,5
2020-03-20,0,0,4,42,2,19,20,8
2020-03-21,0,1,0,21,1,20,20,7
2020-03-22,0,0,8,60,0,10,11,3
2020-03-23,0,0,3,90,1,7,7,2
2020-03-24,0,1,6,51,1,7,6,11
2020-03-25,0,1,8,73,2,7,8,8
2020-03-26,0,2,1,47,3,8,9,15
2020-03-27,0,1,1,3,3,11,11,16
2020-03-28,0,2,3,22,2,4,4,4
2020-03-29,1,1,17,189,1,4,5,5
2020-03-30,0,2,9,73,3,9,10,10
2020-03-31,0,0,5,11,0,3,4,8
2020-04-01,0,0,16,142,0,5,6,10
2020-04-02,0,0,20,243,0,3,3,12
2020-04-03,0,0,4,126,0,9,6,7
2020-04-04,0,0,5,56,2,7,6,10
2020-04-05,1,1,8,112,2,6,14,8
2020-04-06,0,0,7,107,1,11,11,9
2020-04-07,0,1,5,137,2,1,14,2
2020-04-08,0,1,6,268,1,4,6,7
2020-04-09,0,0,20,165,0,18,10,20
2020-04-10,0,3,33,192,4,9,10,3
2020-04-11,1,1,6,150,11,25,16,37
2020-04-12,0,0,6,293,10,8,11,9
2020-04-13,1,1,14,275,3,5,8,6
2020-04-14,0,0,14,221,4,14,11,13
2020-04-15,2,0,2,215,0,7,8,10
2020-04-16,0,0,6,237,1,9,4,13
2020-04-17,0,0,2,126,0,9,5,7
2020-04-18,0,0,11,179,0,3,5,6
2020-04-19,1,0,0,117,0,7,3,12
2020-04-20,2,2,1,153,16,10,12,1
2020-04-21,0,0,2,182,3,3,4,2
2020-04-22,1,1,4,193,2,4,2,6
2020-04-23,0,0,2,289,0,2,2,5
2020-04-24,1,0,1,216,1,4,2,3
2020-04-25,1,0,1,169,0,2,1,3
2020-04-26,0,0,2,178,1,2,3,1
2020-04-27,2,0,2,147,1,6,11,4
2020-04-28,0,1,0,171,2,7,12,4
2020-04-29,0,0,3,257,2,7,10,0
2020-04-30,0,0,13,183,2,6,8,6
2020-05-01,2,1,13,603,1,8,4,13
2020-05-02,3,0,0,478,0,11,12,16
2020-05-03,0,0,8,701,0,8,11,3
2020-05-04,2,0,1,592,0,10,9,7
2020-05-05,0,0,6,1224,1,6,7,6
2020-05-06,0,0,2,1263,0,7,2,10
2020-05-07,0,0,3,1192,0,12,13,10
2020-05-08,0,1,3,1058,2,8,9,6
2020-05-09,0,0,9,1233,4,13,13,10
2020-05-10,0,0,14,682,1,5,5,5
2020-05-11,1,1,3,776,1,10,4,12
2020-05-12,0,0,8,735,0,6,7,5
2020-05-13,0,0,8,1184,0,21,28,9
2020-05-14,2,1,3,1207,2,4,17,6
2020-05-15,0,1,7,1012,1,5,6,5
2020-05-16,0,0,18,1144,1,10,10,8
2020-05-17,1,1,16,705,1,17,13,21
2020-05-18,0,0,16,827,0,19,6,20
2020-05-19,1,1,3,1180,2,6,4,12
2020-05-20,1,1,13,1450,0,11,9,6
2020-05-21,0,0,8,1405,1,9,4,11
2020-05-22,0,0,0,1199,0,2,3,8
2020-05-23,0,0,0,1092,0,2,3,1
2020-05-24,1,0,6,1091,1,5,3,9
2020-05-25,0,0,1,753,0,3,2,3
2020-05-26,1,0,0,821,0,3,1,5
2020-05-27,0,0,1,965,0,3,3,3
2020-05-28,0,0,0,973,0,1,2,2
2020-05-29,0,0,0,1097,0,1,3,2
2020-05-30,0,1,1,1062,1,5,5,0
2020-05-31,1,0,0,736,0,2,4,2
2020-06-01,0,0,0,716,1,2,2,3
2020-06-02,0,0,3,786,1,4,2,4
2020-06-03,1,0,0,955,1,1,2,1
2020-06-04,0,0,4,999,0,6,5,3
2020-06-05,1,0,1,1070,0,3,2,3
2020-06-06,0,0,0,950,1,4,6,0
2020-06-07,0,0,0,385,0,3,5,5
2020-06-08,0,0,1,662,0,7,8,3
2020-06-09,0,0,4,979,1,4,7,1
2020-06-10,0,0,2,1306,1,10,12,7
2020-06-11,0,0,11,1254,0,10,7,6
2020-06-12,1,0,2,1468,0,7,4,10
2020-06-13,0,0,8,1060,0,8,5,7
2020-06-14,2,0,5,793,1,12,12,8
2020-06-15,0,0,2,700,0,7,16,3
2020-06-16,0,0,3,1223,1,7,20,1
2020-06-17,0,0,7,1497,2,9,26,9
2020-06-18,0,0,15,1508,0,12,14,13
2020-06-19,0,0,18,1586,4,13,20,27
2020-06-20,0,0,17,1409,2,18,6,21
2020-06-21,0,0,19,1343,0,22,11,21
2020-06-22,1,0,3,1098,0,12,15,12
2020-06-23,0,0,20,1460,0,22,19,19
2020-06-24,0,0,3,1239,1,5,7,4
2020-06-25,0,0,8,1273,0,10,5,9
2020-06-26,0,0,20,1469,2,10,5,17
2020-06-27,1,1,4,975,0,15,8,19
2020-06-28,0,0,4,738,0,7,7,5
2020-06-29,0,0,4,690,0,9,15,2
2020-06-30,0,1,11,1140,1,8,15,10
2020-07-01,0,1,9,1044,2,9,15,12
2020-07-02,0,0,10,1280,2,8,31,8
2020-07-03,0,0,8,1329,0,13,47,8
2020-07-04,0,0,14,1293,0,13,18,13
2020-07-05,0,0,18,729,1,25,34,14
2020-07-06,0,0,41,914,1,35,31,32
2020-07-07,0,0,36,1413,0,64,43,52
2020-07-08,0,1,37,1645,1,30,53,26
2020-07-09,0,0,11,1537,0,33,34,29
2020-07-10,0,2,36,1453,2,37,52,32
2020-07-11,0,0,31,1383,0,27,21,28
2020-07-12,0,1,47,1347,1,51,33,49
2020-07-13,0,0,29,1263,2,40,53,32
2020-07-14,0,0,32,1695,5,68,46,54
2020-07-15,1,0,32,1843,0,45,73,24
2020-07-16,1,0,47,1750,4,51,114,45
2020-07-17,0,2,81,1763,3,65,73,66
2020-07-18,1,2,42,1964,6,45,96,22
2020-07-19,0,2,101,1380,3,71,106,66
2020-07-20,2,2,71,1377,4,113,72,126
2020-07-21,0,2,100,1622,4,70,75,68
2020-07-22,0,1,67,1663,4,89,80,83
2020-07-23,0,0,79,1492,6,100,96,107
2020-07-24,1,1,71,1344,4,63,88,75
2020-07-25,0,1,45,1598,1,73,101,74
2020-07-26,1,0,118,1783,2,81,117,72
2020-07-27,0,2,110,1308,7,105,130,105
2020-07-28,2,2,84,1448,5,101,89,94
2020-07-29,2,0,104,1919,1,105,94,98
2020-07-30,1,3,72,1833,4,128,162,131
2020-07-31,0,0,141,2230,1,133,130,118
2020-08-01,1,2,93,1612,2,102,139,67
2020-08-02,1,2,85,1396,4,112,150,88
2020-08-03,3,2,118,1718,3,173,153,164
2020-08-04,1,2,205,2231,3,157,193,169
2020-08-05,3,3,115,2109,7,137,181,155
2020-08-06,7,1,161,2215,3,149,187,146
2020-08-07,1,1,188,2406,2,144,164,156
2020-08-08,2,0,152,2180,3,157,140,152
2020-08-09,4,0,163,1756,1,176,178,204
2020-08-10,2,0,176,1569,3,185,181,197
2020-08-11,2,1,146,2458,5,162,160,170
2020-08-12,1,0,194,2337,1,136,121,144
2020-08-13,0,1,184,2403,5,180,235,188
2020-08-14,0,2,138,2266,3,175,198,186
2020-08-15,5,0,142,2043,4,162,176,150
2020-08-16,2,0,119,1656,1,125,149,138
2020-08-17,2,0,271,1599,0,225,226,224
2020-08-18,4,2,98,1668,4,204,202,180
2020-08-19,4,0,263,1951,2,183,250,171
2020-08-20,2,3,150,2088,6,197,305,164
2020-08-21,4,0,263,2015,4,244,329,229
2020-08-22,3,2,180,1782,6,226,415,174
2020-08-23,5,3,312,1931,12,275,365,262
2020-08-24,3,2,260,1971,5,307,414,281
2020-08-25,6,2,400,2257,6,364,304,318
2020-08-26,1,2,282,1885,7,430,351,419
2020-08-27,5,1,366,2614,4,372,423,367
2020-08-28,10,5,405,2501,10,449,445,391
2020-08-29,3,1,394,1883,15,295,423,287
2020-08-30,1,3,377,2256,9,362,495,334
2020-08-31,9,1,445,2081,11,434,530,473
2020-09-01,5,4,564,2365,8,453,499,442
2020-09-02,6,4,619,2231,11,455,373,429
2020-09-03,8,2,470,1380,7,530,457,463
2020-09-04,8,5,525,1421,10,534,337,567
2020-09-05,4,2,400,1019,13,499,549,443
2020-09-06,7,3,421,908,15,376,477,335
2020-09-07,9,6,338,968,13,452,461,470
2020-09-08,13,5,494,1219,17,399,603,338
2020-09-09,10,3,396,1033,17,550,482,584
2020-09-10,8,8,568,1203,15,555,646,443
2020-09-11,11,5,609,1833,14,469,704,454
2020-09-12,7,2,1048,2139,10,595,751,518
2020-09-13,13,4,546,1082,13,589,817,426
2020-09-14,9,8,414,1458,16,815,928,547
2020-09-15,12,10,441,1299,16,1125,912,682
2020-09-16,13,10,613,1224,29,1211,914,787
2020-09-17,20,8,734,1736,39,1080,954,749
2020-09-18,18,10,1372,2303,21,1304,1371,958
2020-09-19,14,10,1043,1992,24,1007,1438,630
2020-09-20,19,13,680,1235,23,1001,1514,575
2020-09-21,18,13,1239,2243,25,1293,1681,908
2020-09-22,17,13,1044,2240,24,1443,1527,1235
2020-09-23,18,9,1834,3150,26,1658,1425,1502
2020-09-24,18,11,1551,3126,37,1604,1766,1567
2020-09-25,19,18,1685,3320,52,1533,1505,1888
2020-09-26,25,19,1298,2208,29,1385,1556,1643
2020-09-27,14,18,956,1758,34,1213,1707,1357
2020-09-28,19,25,1872,3152,45,1929,1902,1862
2020-09-29,15,19,1800,3067,44,1605,1496,1650
2020-09-30,29,19,2005,3599,39,1721,1454,1706
2020-10-01,35,33,1621,3452,51,2030,1555,2059
2020-10-02,32,27,1830,4221,54,1820,1694,1637
2020-10-03,33,26,1432,3188,36,1395,1717,1246
2020-10-04,42,19,787,1768,36,1347,1663,1126
2020-10-05,32,36,1607,3961,56,1669,1889,1446
2020-10-06,30,22,2099,5639,49,1862,1776,1610
2020-10-07,46,20,2304,5196,56,1979,1420,1832
2020-10-08,35,23,2062,5319,45,1922,1303,2081
2020-10-09,41,17,2188,5091,50,1807,1684,1592
2020-10-10,34,30,1614,3274,59,2057,2085,1635
2020-10-11,21,24,856,1672,40,1334,1692,1300
2020-10-12,37,24,1121,1735,45,1455,1906,1102
2020-10-13,52,25,1922,4028,48,1758,1710,1417
2020-10-14,53,22,2299,4906,57,1866,1521,1670
2020-10-15,40,22,2576,5254,48,1963,2018,2051
2020-10-16,34,20,2429,5295,62,1934,1786,1955
2020-10-17,29,12,1574,3445,39,1621,1875,1510
2020-10-18,47,13,899,1944,27,1506,1786,1307
2020-10-19,42,11,1681,3529,35,2258,2085,1778
2020-10-20,39,16,2115,4344,43,1887,1940,1897
2020-10-21,38,24,1881,4183,52,1845,1281,2255
2020-10-22,41,13,2177,4348,40,1640,1472,2077
2020-10-23,34,12,1914,4650,47,1688,1573,2145
2020-10-24,35,12,1331,3295,51,1535,1606,1834
2020-10-25,30,19,904,2102,38,1134,1552,1203
2020-10-26,23,16,1620,3378,41,1602,1739,1326
2020-10-27,26,21,1970,4591,53,1444,1328,1956
2020-10-28,29,12,1417,3783,44,1463,954,1936
2020-10-29,20,12,1260,3528,27,1406,1118,1552
2020-10-30,29,12,1529,3758,41,1457,1217,1587
2020-10-31,39,8,798,2313,32,1167,1029,1155
2020-11-01,32,14,472,1573,30,1214,1353,680
2020-11-02,29,12,1223,2794,40,1540,1627,966
2020-11-03,28,19,1553,4047,35,1338,1218,1429
2020-11-04,38,9,1321,3581,30,1064,1026,1331
2020-11-05,34,12,1565,4142,27,1096,989,1347
2020-11-06,29,10,1316,3537,33,1267,1116,1503
2020-11-07,30,7,660,2061,19,1043,1108,1064
2020-11-08,19,9,505,1722,20,994,1076,778
2020-11-09,33,7,1088,2552,19,1168,1298,1002
2020-11-10,29,16,1108,2975,30,1238,1123,1324
2020-11-11,24,12,1359,3775,27,1016,822,1625
2020-11-12,34,12,1416,3307,32,905,758,1573
2020-11-13,26,14,1328,3749,26,937,1028,1318
2020-11-14,24,12,619,2428,23,782,926,612
2020-11-15,26,7,380,1072,16,767,904,485
2020-11-16,27,8,1262,2653,22,937,1026,958
2020-11-17,23,7,1231,3729,24,1080,773,1308
2020-11-18,19,8,1045,3780,22,931,634,1253
2020-11-19,23,7,1000,4083,19,821,616,1054
2020-11-20,13,3,978,4607,20,788,609,1095
2020-11-21,25,11,491,2208,16,494,597,518
2020-11-22,12,5,217,942,22,517,603,267
2020-11-23,18,13,334,1299,19,518,722,292
2020-11-24,21,6,875,3343,19,641,602,799
2020-11-25,17,12,879,3988,21,755,623,963
2020-11-26,19,4,830,3716,14,566,594,841
2020-11-27,23,7,807,3410,15,621,603,841
2020-11-28,18,7,493,2401,14,372,534,391
2020-11-29,10,7,206,839,15,398,424,310
2020-11-30,11,5,629,2655,10,607,525,592
2020-12-01,6,5,825,3129,14,652,531,800
2020-12-02,8,2,553,2902,12,475,295,669
2020-12-03,16,7,618,3466,17,387,239,592
2020-12-04,12,5,482,3049,17,342,338,326
2020-12-05,7,2,391,2118,8,338,294,566
2020-12-06,8,3,83,274,6,268,398,147
2020-12-07,12,1,285,1500,8,220,398,117
2020-12-08,14,3,105,372,4,349,366,297
2020-12-09,5,5,614,3195,15,350,342,518
2020-12-10,10,5,526,3072,20,461,349,560
2020-12-11,7,6,456,2326,8,401,383,353
2020-12-12,7,7,329,2215,12,352,378,359
2020-12-13,4,0,89,370,3,280,326,256
2020-12-14,6,3,437,2368,13,376,406,287
2020-12-15,10,1,531,3390,7,425,379,647
2020-12-16,5,5,373,2846,14,362,293,522
2020-12-17,11,4,477,3450,6,385,295,386
2020-12-18,4,0,338,3242,9,322,413,374
2020-12-19,4,3,329,2939,6,358,467,284
2020-12-20,6,3,87,343,6,316,395,230
2020-12-21,3,4,545,2850,9,322,306,250
2020-12-22,7,2,564,4014,5,451,323,549
2020-12-23,5,3,610,4642,7,464,383,543
2020-12-24,6,0,175,792,4,368,418,425
2020-12-25,2,4,70,340,9,260,510,177
2020-12-26,0,2,314,3034,8,355,580,215
2020-12-27,0,3,138,662,9,460,526,235
2020-12-28,3,3,724,3634,11,682,559,660
2020-12-29,2,5,712,3831,17,626,406,662
2020-12-30,1,4,790,4877,6,616,416,709
2020-12-31,5,2,345,2040,7,531,461,574
2021-01-01,7,2,84,287,6,498,756,252
2021-01-02,3,4,451,2623,13,472,791,190
2021-01-03,6,1,227,914,7,572,785,302
2021-01-04,5,3,927,3852,16,735,885,618
2021-01-05,2,7,938,4969,18,912,827,912
2021-01-06,3,3,1109,5640,15,812,483,857
2021-01-07,6,2,950,4900,6,676,522,1256
2021-01-08,2,8,772,4653,22,606,584,817
2021-01-09,3,4,480,3624,6,604,625,443
2021-01-10,6,4,119,759,9,367,668,227
2021-01-11,6,4,808,3608,11,581,557,707
2021-01-12,14,6,903,4535,16,624,696,880
2021-01-13,8,8,778,4963,14,574,329,695
2021-01-14,3,9,556,3239,17,611,493,614
2021-01-15,8,3,636,4376,11,383,589,413
2021-01-16,2,2,368,2999,9,562,428,675
2021-01-17,7,6,148,596,10,331,555,135
2021-01-18,4,7,765,3481,14,532,636,567
2021-01-19,8,3,583,3794,15,592,464,693
2021-01-20,7,2,502,3345,10,445,287,565
2021-01-21,8,3,521,4045,19,456,395,551
2021-01-22,11,6,575,4020,15,558,610,687
2021-01-23,4,6,286,2367,16,449,546,329
2021-01-24,10,0,132,485,6,261,487,137
2021-01-25,9,9,568,3386,18,496,489,569
2021-01-26,8,3,671,3088,9,667,472,729
2021-01-27,7,5,628,4418,12,545,297,672
2021-01-28,9,6,591,4444,21,484,397,563
2021-01-29,6,5,319,2134,10,376,408,381
2021-01-30,6,2,339,2592,5,425,532,360
2021-01-31,1,3,143,546,6,299,487,194
2021-02-01,3,10,486,2956,20,530,631,512
2021-02-02,9,4,603,4731,11,541,386,522
2021-02-03,8,3,583,4321,13,630,390,634
2021-02-04,4,5,557,3712,10,528,444,577
2021-02-05,5,5,541,3722,18,593,607,615
2021-02-06,3,6,320,2066,11,335,508,206
2021-02-07,4,3,97,464,5,347,636,225
2021-02-08,0,4,641,3634,11,517,662,525
2021-02-09,6,1,690,5076,7,615,540,730
2021-02-10,1,4,640,6110,12,555,338,596
2021-02-11,5,3,642,5429,14,592,301,731
2021-02-12,6,6,714,5247,10,564,375,638
2021-02-13,3,1,360,3410,10,476,535,421
2021-02-14,5,5,109,738,11,273,587,113
2021-02-15,3,5,307,1831,9,391,747,220
2021-02-16,4,4,257,1818,7,439,566,291
2021-02-17,8,7,849,4226,9,618,378,794
2021-02-18,4,5,829,5776,14,680,588,797
2021-02-19,8,5,740,4266,11,742,645,782
2021-02-20,3,4,465,3596,7,603,833,447
2021-02-21,6,1,130,637,7,332,623,156
2021-02-22,11,6,829,4247,16,649,756,741
2021-02-23,3,3,773,4773,13,698,622,624
2021-02-24,7,4,724,4403,5,777,334,991
2021-02-25,4,3,785,3441,13,543,462,711
2021-02-26,3,4,653,4660,11,618,614,679
2021-02-27,3,4,403,3024,10,484,599,450
2021-02-28,6,2,133,641,6,326,553,152
2021-03-01,7,3,803,3689,11,665,709,709
2021-03-02,4,1,715,4854,9,710,524,732
2021-03-03,3,4,699,4739,10,687,330,663
2021-03-04,6,2,709,4329,7,529,556,663
2021-03-05,9,1,645,4100,12,547,540,610
2021-03-06,1,2,383,1994,9,399,533,345
2021-03-07,6,3,126,503,12,248,539,125
2021-03-08,3,6,704,3723,6,583,681,711
2021-03-09,5,2,614,4289,7,576,518,619
2021-03-10,3,5,706,4562,6,568,296,652
2021-03-11,3,1,631,4866,6,477,457,674
2021-03-12,3,3,714,5014,6,527,318,686
2021-03-13,3,2,306,3053,5,357,88,377
2021-03-14,2,1,134,613,4,119,59,117
2021-03-15,3,1,604,3639,6,347,33,600
2021-03-16,0,0,99,758,0,215,1,323
